date,code,km,stay,weight,visit
2020-05-03,10050,8.380872955874041,0.9469284386098323,5.204297088709362e-05,0.0
2020-05-03,10130,8.418591910667525,0.9872373717893808,2.189641156410798e-05,3.478126564451797e-05
2020-05-03,10250,,1.0,1.814915095151994e-05,0.0
2020-05-03,10300,8.04480286249823,0.9585359135650053,8.006453580430518e-06,0.0
2020-05-03,10470,8.159466500728499,0.9575585948068873,3.578348222722938e-05,0.0
2020-05-03,10500,11.948486911572562,0.8956094349163609,0.00022154751980171296,0.052500668578369394
2020-05-03,10550,,1.0,1.9707706006640485e-05,0.0
2020-05-03,10600,,1.0,6.580625105786174e-06,0.0
2020-05-03,10650,,1.0,8.75227517709783e-06,0.0
2020-05-03,10750,13.382603430940126,0.8900420596057147,0.00039141430692492377,0.07073061222446708
2020-05-03,10800,,1.0,3.220357025464426e-06,0.0
2020-05-03,10850,,1.0,4.491375181199913e-06,9.938676024036547e-05
2020-05-03,10900,9.47006899671783,0.9777139194212182,4.9569003043238614e-05,0.0018116568986912443
2020-05-03,10950,,1.0,1.6118731253850622e-06,0.0
2020-05-03,11150,,1.0,1.411553632923913e-06,0.0
2020-05-03,11200,,1.0,4.285905420099009e-07,0.0
2020-05-03,11250,8.29229961340221,0.9190417276164644,1.33766531365196e-05,0.0
2020-05-03,11300,10.995773629196174,0.8837304253043144,3.29463270442854e-05,0.00873888046876891
2020-05-03,11350,,1.0,2.1727516875230195e-05,0.0
2020-05-03,11400,8.991892385196234,0.9782362987951264,9.403333884526378e-06,0.00042988114997760543
2020-05-03,11450,15.222709131512811,0.9053671150917467,0.00010504225522545293,0.012908651327047709
2020-05-03,11500,15.053342407638246,0.9020992346706486,0.00018515498778377877,0.022732320139368187
2020-05-03,11520,10.439054487223736,0.8886325499807474,6.208590860668396e-05,0.01748193139479336
2020-05-03,11570,11.643723936528955,0.8819098334307197,0.0003408939105234397,0.08632580824782621
2020-05-03,11600,,1.0,1.888224714837584e-06,0.0
2020-05-03,11650,10.17592670100779,0.9430684720741325,0.00024457305550274887,0.0010405186838682125
2020-05-03,11700,,1.0,6.661787772545199e-07,0.0
2020-05-03,11720,9.86201559042639,0.9809950833466073,6.38315138019687e-05,0.0014326633320413645
2020-05-03,11730,9.644898797896321,0.9910770683681168,3.4980176212073674e-05,0.0
2020-05-03,11750,,1.0,3.5079204144940807e-06,0.0
2020-05-03,11800,8.438225705826275,0.9971184619936572,3.718418263671042e-05,0.0
2020-05-03,12000,,1.0,2.480029621456819e-06,0.0
2020-05-03,12150,,1.0,1.977941615306554e-06,0.0
2020-05-03,12160,,1.0,7.83109457737656e-06,0.0
2020-05-03,12350,,1.0,8.621790217136764e-06,0.0
2020-05-03,12380,12.680553786151977,0.8723816961940425,0.00024248187147698016,0.0743823941538128
2020-05-03,12390,8.81658964937358,0.9361179370221498,4.747410779542899e-05,0.0
2020-05-03,12700,,1.0,5.779049455899074e-06,0.0
2020-05-03,12730,,1.0,5.61954837718747e-06,0.0
2020-05-03,12750,,1.0,1.6927468149510174e-05,0.0
2020-05-03,12850,12.222553369233161,0.8740943568687514,0.00016841922694049157,0.04987686694721739
2020-05-03,12870,,1.0,1.2984630101590783e-05,0.0
2020-05-03,12900,,1.0,6.578527777085964e-06,0.0
2020-05-03,12930,11.508325525639586,0.8854710070820958,0.00012151243349307286,0.0275432833028787
2020-05-03,12950,,1.0,2.2578841762725496e-06,0.0
2020-05-03,13010,,1.0,4.856543230427806e-06,0.0
2020-05-03,13310,8.030775511194093,0.9418877376038294,2.501160527267815e-05,0.0
2020-05-03,13340,,1.0,5.713547089530303e-06,0.0
2020-05-03,13450,8.075282197045333,0.9591284811729042,2.746951688048631e-05,0.0
2020-05-03,13550,,1.0,8.595546983314652e-06,0.0
2020-05-03,13660,,1.0,1.663117646712333e-06,0.0
2020-05-03,13800,13.945549675508188,0.980325877915317,5.792963903384465e-05,0.0015803515207309295
2020-05-03,13850,,1.0,2.3572479810544553e-06,0.0
2020-05-03,13910,,1.0,1.176055048602105e-05,0.0
2020-05-03,14000,11.80059014831847,0.9329229772744381,9.043779591009312e-05,0.012644119160301271
2020-05-03,14100,10.345994161268727,0.8899795522808571,1.7561481608154127e-05,0.005040334274245624
2020-05-03,14170,11.371427164933982,0.8890876396307115,0.00016840548317150449,0.04501915572611496
2020-05-03,14200,,1.0,1.2813468655836274e-05,0.0
2020-05-03,14300,,1.0,4.05918733772776e-06,0.0
2020-05-03,14350,,1.0,1.7648678862137258e-05,0.0
2020-05-03,14400,,1.0,1.3761159423323773e-06,0.0
2020-05-03,14500,11.464348401176709,0.9197085122003629,8.856217399099649e-05,0.018514690354324934
2020-05-03,14550,,1.0,2.930814716030246e-06,0.0
2020-05-03,14600,,1.0,3.680288349867628e-06,0.0
2020-05-03,14650,9.407876820139633,0.9409405745459327,0.00017167896589629546,0.01015918914715259
2020-05-03,14700,10.859752641396565,0.8922936426321604,3.4658365392049875e-05,0.011407146566801503
2020-05-03,14750,,1.0,1.0088360608031992e-05,0.0
2020-05-03,14850,8.563644307849497,0.9689718803695389,3.483271154013393e-05,0.0
2020-05-03,14870,,1.0,1.5737609483854555e-05,0.0
2020-05-03,14900,12.986781149409891,0.8908120862131291,0.00023371733941750166,0.04330814340024
2020-05-03,14920,,1.0,4.142620912205092e-06,0.0
2020-05-03,14950,,1.0,1.841692538843418e-06,0.0
2020-05-03,15050,12.04874926735952,0.9541755207866336,7.721236009147546e-05,0.0036636671697227027
2020-05-03,15240,11.36232676387572,0.9980473882238784,6.40823474478223e-05,4.610329683588359e-05
2020-05-03,15270,8.23477749009493,0.9858332489866586,1.742851418140719e-05,0.0
2020-05-03,15300,,1.0,8.933940855407818e-06,0.0
2020-05-03,15350,11.76873277128329,0.8961579832859861,3.11318295343074e-05,0.012724147218456357
2020-05-03,15520,7.892683150185533,0.9882050656378046,1.0888171483837809e-05,0.0
2020-05-03,15560,,1.0,1.502670471095812e-06,0.0
2020-05-03,15650,,1.0,1.4897398161237779e-05,0.0
2020-05-03,15700,,1.0,1.3147282963237281e-05,0.0
2020-05-03,15750,,1.0,7.639649091734315e-06,0.0
2020-05-03,15800,,1.0,4.132430315002774e-06,0.0
2020-05-03,15850,,1.0,3.847997692393241e-06,0.0
2020-05-03,15900,10.141351323774867,0.9420760834153982,0.00010574656753828046,0.010657048662355003
2020-05-03,15950,11.768732771283371,0.8961579832859867,3.978670660141969e-05,0.01626155351956114
2020-05-03,15990,12.263211408685361,0.9401941137401764,9.369737476508735e-05,0.011202727948393094
2020-05-03,16100,,1.0,2.874578692786607e-06,0.0
2020-05-03,16150,8.601087864903485,0.9407913931694718,3.52546098266684e-05,0.0004835114568078309
2020-05-03,16200,8.183529916454896,0.991188474003603,1.057386166672739e-05,0.0
2020-05-03,16260,12.746424681180125,0.8779001291196821,0.0002359448743888767,0.07129683562234027
2020-05-03,16350,15.034232267762679,0.9062626608104023,0.00025258806224518474,0.029558397322704415
2020-05-03,16380,12.25962925821182,0.9764205811721244,6.796418314579722e-05,0.0
2020-05-03,16400,8.739046775503585,0.9834420597779929,6.135703128923566e-05,0.0013587440218450733
2020-05-03,16490,9.95041832708702,0.9403917226409777,3.398663934571616e-05,0.00014413783096568124
2020-05-03,16550,12.811097957148375,0.9076649740011256,0.0001528387111889684,0.0396450067133811
2020-05-03,16610,8.560475885007643,0.9931208185582107,1.4898435740035351e-05,0.0
2020-05-03,16700,10.922166479212027,0.8914662013269975,9.358881813659467e-05,0.026174175460657617
2020-05-03,16900,11.016714384146317,0.9158952905293243,6.677885023027821e-05,0.007487570059849161
2020-05-03,16950,8.53457173220869,0.9747808900660727,7.130373926810434e-05,0.0
2020-05-03,17000,8.234777490094965,0.9955489576807285,2.3025852216861134e-05,0.0
2020-05-03,17040,,1.0,1.2657033172008488e-05,0.0
2020-05-03,17080,,1.0,1.0901470859992267e-05,0.0
2020-05-03,17100,11.96298297909018,0.8795757382911896,5.1643634493607834e-05,0.015893482812786408
2020-05-03,17150,12.130410096441645,0.8974335406762831,0.00022820918099523643,0.030541621701443575
2020-05-03,17200,13.595595848055657,0.9113511914600129,0.0001766382255168001,0.0495854375530759
