LGA,date,%stay,%anom
10050,2020-05-03,96.08177181960215,4.13083659046618
10130,2020-05-03,98.93935508805673,2.0822018658161356
10250,2020-05-03,100.0,0.3033662061701081
10300,2020-05-03,96.16586063732157,0.7728866417539448
10470,2020-05-03,96.08090476781848,3.9299375866355124
10500,2020-05-03,90.61520821636132,5.4184114218319035
10550,2020-05-03,100.0,0.16145214516360973
10600,2020-05-03,100.0,0.0
10650,2020-05-03,100.0,0.0
10750,2020-05-03,91.30118704748044,7.999970776885967
10800,2020-05-03,100.0,0.0
10850,2020-05-03,100.0,1.0487302181326763
10900,2020-05-03,98.349017917758,1.3314229765863272
10950,2020-05-03,100.0,0.0
11150,2020-05-03,100.0,0.0
11200,2020-05-03,100.0,0.0
11250,2020-05-03,92.40073071043315,3.7836464382425605
11300,2020-05-03,89.8437699188979,5.789640807398944
11350,2020-05-03,100.0,0.12588380609950267
11400,2020-05-03,98.34956505881269,1.8395694973072585
11450,2020-05-03,92.75244091723005,6.271783062831826
11500,2020-05-03,92.53328118779937,7.21362847766156
11520,2020-05-03,89.78289614813862,5.53711118946012
11570,2020-05-03,89.84138128982792,6.952902614105594
11600,2020-05-03,100.0,0.03519277493824191
11650,2020-05-03,95.10448181722501,4.799876081884102
11700,2020-05-03,100.0,0.0
11720,2020-05-03,98.38143029415087,2.2096366864403194
11730,2020-05-03,100.0,3.9567263559368904
11750,2020-05-03,100.0,0.0
11800,2020-05-03,100.0,1.38025807846065
12000,2020-05-03,100.0,0.0
12150,2020-05-03,100.0,0.0
12160,2020-05-03,100.0,0.0
12350,2020-05-03,100.0,0.0
12380,2020-05-03,88.8777634869012,7.885160814034853
12390,2020-05-03,95.27443335290681,9.815047095704909
12700,2020-05-03,100.0,0.01484891397198762
12730,2020-05-03,100.0,3.6662396645105844
12750,2020-05-03,100.0,0.0
12850,2020-05-03,89.31371229142343,9.31155818062901
12870,2020-05-03,100.0,0.0
12900,2020-05-03,100.0,3.4560204150613894
12930,2020-05-03,90.50320216767052,5.632946520735738
12950,2020-05-03,100.0,0.0
13010,2020-05-03,100.0,0.0
13310,2020-05-03,94.67316220016225,3.8584542629378715
13340,2020-05-03,100.0,1.6568025763053829
13450,2020-05-03,97.44175162709031,6.962837188398896
13550,2020-05-03,100.0,3.2103457209492703
13660,2020-05-03,100.0,0.0
13800,2020-05-03,99.23355538261059,5.304677495009336
13850,2020-05-03,100.0,0.0
13910,2020-05-03,100.0,1.8854326101127583
14000,2020-05-03,94.13551593696621,4.849239514955017
14100,2020-05-03,89.77573387596533,5.538075115430563
14170,2020-05-03,89.97072932327735,5.771932321055462
14200,2020-05-03,100.0,0.0794459497555744
14300,2020-05-03,100.0,0.0
14350,2020-05-03,100.0,0.965971254644038
14400,2020-05-03,100.0,0.0
14500,2020-05-03,92.37960014186527,5.7933931513896475
14550,2020-05-03,100.0,0.0
14600,2020-05-03,100.0,0.0
14650,2020-05-03,94.67059178481868,3.8342461090704827
14700,2020-05-03,89.32323430892416,6.263364240833003
14750,2020-05-03,100.0,0.0
14850,2020-05-03,97.3329440261122,3.2214289336717883
14870,2020-05-03,100.0,1.0033135190388176
14900,2020-05-03,91.57009897723334,7.467451241942924
14920,2020-05-03,100.0,0.0
14950,2020-05-03,100.0,0.0
15050,2020-05-03,96.22763432962797,5.010976186798133
15240,2020-05-03,99.96961345777284,1.5513089065402719
15270,2020-05-03,100.0,5.0151099532641075
15300,2020-05-03,100.0,0.9149771605016399
15350,2020-05-03,88.57443621199236,7.203288457751866
15520,2020-05-03,98.97009953133555,1.1097474308062294
15560,2020-05-03,100.0,0.0
15650,2020-05-03,100.0,0.4118188098783282
15700,2020-05-03,100.0,0.0
15750,2020-05-03,100.0,0.66610457721199
15800,2020-05-03,100.0,0.0
15850,2020-05-03,100.0,0.0
15900,2020-05-03,95.06273054750206,4.991485554851138
15950,2020-05-03,88.57443621199239,7.203288457751911
15990,2020-05-03,94.14065661191006,3.4441550087519923
16100,2020-05-03,100.0,0.0
16150,2020-05-03,95.03805363410993,4.472526995124304
16200,2020-05-03,100.0,4.233633374210144
16260,2020-05-03,89.04396639187719,7.33273313164684
16350,2020-05-03,92.93939412616297,7.442848133024915
16380,2020-05-03,98.14581261636611,2.760413657880889
16400,2020-05-03,98.42793926570889,1.062685063156077
16490,2020-05-03,95.46366321835016,5.308355752805127
16550,2020-05-03,91.0463233716271,5.413309969783331
16610,2020-05-03,100.0,1.5872609101202695
16700,2020-05-03,89.86283206356218,5.883842450964627
16900,2020-05-03,93.3835993717229,5.174083369077076
16950,2020-05-03,98.02551035079917,2.733123716274455
17000,2020-05-03,100.0,1.7889335937240292
17040,2020-05-03,100.0,0.0
17080,2020-05-03,100.0,0.0
17100,2020-05-03,89.45441606656381,7.206118286095542
17150,2020-05-03,91.68425917509876,5.911633786914394
17200,2020-05-03,91.09950625341978,5.074907639360027
17310,2020-05-03,95.98867696873184,4.637119524993927
17350,2020-05-03,100.0,0.0
17400,2020-05-03,100.0,0.0
17420,2020-05-03,92.24121316380547,6.046941968614417
17550,2020-05-03,99.28609272796298,0.7693197719356837
17620,2020-05-03,100.0,0.0
17640,2020-05-03,100.0,0.0
17650,2020-05-03,99.7320190092206,0.7563779050356212
17750,2020-05-03,97.57341564963771,4.202451095691351
17850,2020-05-03,100.0,0.0
17900,2020-05-03,100.0,0.0
17950,2020-05-03,100.0,0.0
18020,2020-05-03,100.0,0.0
18050,2020-05-03,91.33250572099493,4.849182914901817
18100,2020-05-03,100.0,0.0
