date,LGA,km,stay,weight,visit
2020-04-08,40070,0.7754400013498299,0.8546430604394792,0.03597330234810953,0.2459488979556897
2020-04-08,40120,0.0026139927325526985,0.99970826035164,0.014398234476858646,0.0024293073421581533
2020-04-08,40310,0.0,1.0,0.01224585044237297,0.0
2020-04-08,40700,0.0035088573447651997,0.9986288406681813,0.0236030198011005,0.03945188180902614
2020-04-08,40910,0.027618636076993452,0.9968435606834959,0.030573519858016523,0.05041890527462612
2020-04-08,41060,0.016153771045765535,0.9970666593546856,0.08626382286951127,0.11043959168118173
2020-04-08,42030,0.0,1.0,0.016083474614653984,0.0
2020-04-08,42600,8.951907020837714e-06,0.9999984195987416,0.018586932546658413,0.017901470467654695
2020-04-08,44060,0.007223314835087278,0.9974631852292166,0.07403175642712394,0.06876506519230803
2020-04-08,44340,0.009145896248262453,0.9964414716333497,0.04324325368632065,0.03023739796487419
2020-04-08,44550,0.0,1.0,0.020002731595946836,0.0
2020-04-08,45290,0.02305842001644744,0.9918634852591052,0.02298463404619724,0.06548593693404527
2020-04-08,45340,0.0013324625040082834,0.9993328642093562,0.12345046892494996,0.0012361676903179916
2020-04-08,45680,0.0,1.0,0.083109866562356,0.0
2020-04-08,45890,0.01871860468513291,0.9973827322177578,0.10487602439042486,0.13058636302522772
2020-04-08,46510,0.029995822350850007,0.9942674511375885,0.015030804761613734,0.03684930458916339
2020-04-08,47140,0.0,1.0,0.12874044027523643,0.017344087804238153
2020-04-08,47700,4.0416016018424733e-07,0.9999999524581945,0.06676636208851813,0.02070916247463597
2020-04-08,47980,0.027068251345903054,0.9902250640781651,0.022322301954879702,0.046474597679084066
2020-04-08,48260,0.012135931207827858,0.9973369958963734,0.005019319031546022,0.006698333905815819
2020-04-08,48410,0.026645390667426532,0.9925019479151346,0.05269387929760459,0.10902352820995292
2020-04-09,40070,0.9019394966984889,0.8372971690777667,0.034690680368207535,0.2507408735748985
2020-04-09,40120,0.0056733823162633335,0.9993131350903126,0.015113911362762054,0.002213053138206742
2020-04-09,40310,0.0,1.0,0.01256607009945979,0.0
2020-04-09,40700,0.02310792650016544,0.9955263790574292,0.022833506782466387,0.023398508317284576
2020-04-09,40910,0.009486056461553255,0.9987306646632651,0.030234407552949778,0.038473886150217226
2020-04-09,41060,0.029039685273549692,0.9935088167647135,0.08638600350733655,0.12335720594428638
2020-04-09,42030,0.0,1.0,0.016315604592963343,0.0
2020-04-09,42600,0.010418469862010218,0.9947947905468155,0.018186713135530108,0.031117934737109863
2020-04-09,44060,0.020277413849739415,0.993804162936641,0.07416313834981487,0.07302353768453955
2020-04-09,44340,0.00944121095297656,0.9967820499184099,0.04274068079602017,0.027153335668245942
2020-04-09,44550,0.0,1.0,0.020879594342439654,0.0
2020-04-09,45290,0.041298507086684436,0.9839103044658123,0.02256075558885435,0.0688244153542233
2020-04-09,45340,0.0021603430428500385,0.998918280763119,0.12452442150273087,0.0011635921751631617
2020-04-09,45680,0.0,1.0,0.08428620519512191,0.0
2020-04-09,45890,0.022295252265154306,0.9966795350473372,0.10485521531648118,0.1198736116529826
2020-04-09,46510,0.016127078337751902,0.9959279281983457,0.01473348251354204,0.025292113488229583
2020-04-09,47140,0.008142226768716352,0.9994255845251827,0.12923339217341445,0.026562162379148692
2020-04-09,47700,0.0,1.0,0.0678185252009839,0.0272327242185887
2020-04-09,47980,0.010747404860392763,0.9958872644004748,0.021453206479530054,0.046567570564181544
2020-04-09,48260,0.009499087457476636,0.9970854239829929,0.004977510139955707,0.011370615939040768
2020-04-09,48410,0.030513929594529216,0.9894851977060473,0.05144697499943524,0.10363485901365338
2020-04-10,40070,0.014619193957321981,0.9944205264574244,0.02407204798450935,0.0932138295340314
2020-04-10,40120,0.0,1.0,0.01426295832441242,0.0
2020-04-10,40310,0.0,1.0,0.012826150230543055,0.0
2020-04-10,40700,0.00023828960128381244,0.9998810384831545,0.022394261234671788,0.020922563160418798
2020-04-10,40910,0.0,1.0,0.031071095687247058,0.0
2020-04-10,41060,0.0,1.0,0.08648515204903759,0.0
2020-04-10,42030,0.0,1.0,0.017190195743261288,0.0
2020-04-10,42600,0.0,1.0,0.01825409236359866,0.0
2020-04-10,44060,0.0003429653591430577,0.9998285928165026,0.07432685444707668,0.3578550588320458
2020-04-10,44340,0.001429042546656675,0.9992857932980975,0.04255608365841133,0.0
2020-04-10,44550,0.0,1.0,0.0208536275424874,0.0
2020-04-10,45290,0.0005227383100784007,0.9997390329164803,0.0215250089088051,0.044116467099377034
2020-04-10,45340,4.181225787360333e-05,0.999979103075087,0.1296004614230098,0.007956702362658863
2020-04-10,45680,0.0,1.0,0.08628436139848746,0.0
2020-04-10,45890,0.0,1.0,0.1039066201134317,0.0
2020-04-10,46510,0.0,1.0,0.014915883714408733,0.0
2020-04-10,47140,0.0,1.0,0.1322372408663368,0.0
2020-04-10,47700,0.0,1.0,0.07084313228878593,0.0
2020-04-10,47980,0.0,1.0,0.02044586081471892,0.0
2020-04-10,48260,0.0,1.0,0.00505836584776732,0.0
2020-04-10,48410,0.0019448477215207908,0.9990349245208883,0.050890545358991554,0.475935379011468
2020-04-11,40070,0.012759884576529556,0.9944314201205187,0.024329681808019105,0.4498455725227216
2020-04-11,40120,0.0,1.0,0.014999479023986764,0.0
2020-04-11,40310,0.0,1.0,0.013195243577905717,0.0
2020-04-11,40700,0.0001796359530493201,0.9999103201929939,0.02195705079634056,0.0160232974680307
2020-04-11,40910,0.0,1.0,0.03077052346923666,0.0
