code,name,area,type
22910,Hepburn (S),1472.9844,lga
22980,Hindmarsh (S),7524.1824,lga
23110,Hobsons Bay (C),64.2404,lga
23190,Horsham (RC),4266.769,lga
23270,Hume (C),503.8505,lga
23350,Indigo (S),2040.069,lga
23430,Kingston (C) (Vic.),91.3677,lga
23670,Knox (C),113.9115,lga
23810,Latrobe (C) (Vic.),1425.6128,lga
23940,Loddon (S),6696.4447,lga
24130,Macedon Ranges (S),1748.2837,lga
24210,Manningham (C),113.3478,lga
24250,Mansfield (S),3843.8535,lga
24330,Maribyrnong (C),31.2254,lga
24410,Maroondah (C),61.4097,lga
24600,Melbourne (C),37.3513,lga
24650,Melton (C),527.5374,lga
24780,Mildura (RC),22082.4836,lga
24850,Mitchell (S),2862.0833,lga
24900,Moira (S),4046.3738,lga
24970,Monash (C),81.4829,lga
25060,Moonee Valley (C),43.1386,lga
25150,Moorabool (S),2110.5504,lga
25250,Moreland (C),50.9519,lga
25340,Mornington Peninsula (S),724.1679,lga
25430,Mount Alexander (S),1529.6184,lga
25490,Moyne (S),5481.6861,lga
25620,Murrindindi (S),3879.7505,lga
25710,Nillumbik (S),432.3373,lga
25810,Northern Grampians (S),5729.8764,lga
25900,Port Phillip (C),20.7092,lga
25990,Pyrenees (S),3434.5689,lga
26080,Queenscliffe (B),8.6166,lga
26170,South Gippsland (S),3296.3307,lga
26260,Southern Grampians (S),6654.0186,lga
26350,Stonnington (C),25.6514,lga
26430,Strathbogie (S),3303.2568,lga
26490,Surf Coast (S),1552.944,lga
26610,Swan Hill (RC),6115.3087,lga
26670,Towong (S),6674.9467,lga
26700,Wangaratta (RC),3645.1095,lga
26730,Warrnambool (C),120.9488,lga
26810,Wellington (S),10817.3346,lga
26890,West Wimmera (S),9108.2042,lga
26980,Whitehorse (C),64.28,lga
27070,Whittlesea (C),489.6939,lga
27170,Wodonga (C),432.6894,lga
27260,Wyndham (C),542.0949,lga
27350,Yarra (C),19.5425,lga
27450,Yarra Ranges (S),2468.205,lga
27630,Yarriambiack (S),7325.797,lga
29399,Unincorporated Vic,283.0142,lga
30250,Aurukun (S),7423.989,lga
30300,Balonne (S),31103.7071,lga
30370,Banana (S),28550.1626,lga
30410,Barcaldine (R),53382.6558,lga
30450,Barcoo (S),61830.0907,lga
30760,Blackall-Tambo (R),30537.2479,lga
30900,Boulia (S),60905.7352,lga
31000,Brisbane (C),1342.7188,lga
31750,Bulloo (S),73723.751,lga
31820,Bundaberg (R),6431.003,lga
31900,Burdekin (S),5043.9317,lga
31950,Burke (S),39684.0526,lga
32080,Cairns (R),1689.3129,lga
32250,Carpentaria (S),64121.0124,lga
32260,Cassowary Coast (R),4687.824,lga
