LGA,date,%stay,%anom
20660,2020-04-04,99.8938663780645,-0.03357459213972902
20910,2020-04-04,99.9333461277762,0.07030252438346984
21110,2020-04-04,99.82163545365982,0.4885426993677777
21180,2020-04-04,99.43212729637712,-0.135235021197333
21450,2020-04-04,100.0,0.0
21610,2020-04-04,99.9751760131018,0.01027472343619884
21890,2020-04-04,99.60617420878049,0.031199493718281346
22170,2020-04-04,99.896424677447,0.12401948123015316
22310,2020-04-04,99.67215660852608,0.2102538814546806
22490,2020-04-04,100.0,0.0
22670,2020-04-04,98.83795277689138,-0.36263161702411173
22750,2020-04-04,99.8492923269947,0.04599012972170691
23110,2020-04-04,99.99734993600026,0.05590250760196813
23270,2020-04-04,99.59749010972753,0.06316536132435768
23430,2020-04-04,99.82758122056174,-0.06911920603210886
23670,2020-04-04,100.0,0.0
24210,2020-04-04,100.0,0.007414885647216707
24330,2020-04-04,99.08246914592907,0.3669061502712401
24410,2020-04-04,99.90464097717684,0.009271732868665339
24600,2020-04-04,95.92978807746016,3.752372721391062
24650,2020-04-04,99.47337482310448,-0.26051493869774234
24970,2020-04-04,99.76450788215129,-0.027182903451694607
25060,2020-04-04,99.84877397090301,0.36119707012229885
25150,2020-04-04,100.0,0.0
25250,2020-04-04,99.69706936013232,0.5087594381437022
25340,2020-04-04,100.0,0.034061185361977664
25710,2020-04-04,100.0,0.0
25900,2020-04-04,96.8553938569748,1.353731454269691
26080,2020-04-04,100.0,0.0
26350,2020-04-04,98.33463663459605,1.324542023964148
26490,2020-04-04,100.0,0.0
26980,2020-04-04,99.80559381032987,-0.02132247427479861
27070,2020-04-04,99.95546660240765,-0.016249881539320832
27260,2020-04-04,99.90025581224634,0.03212106940226889
27350,2020-04-04,97.68975071340795,1.6003710495889
27450,2020-04-04,100.0,0.0
20660,2020-04-05,100.0,0.07263612114196683
20910,2020-04-05,99.92599104104494,0.06293735767175512
21110,2020-04-05,99.9057363603276,0.5732054832656042
21180,2020-04-05,99.93108232542522,0.3658910038182972
21450,2020-04-05,100.0,0.0
21610,2020-04-05,99.98167711469357,0.01677810739735275
21890,2020-04-05,100.0,0.42670576228227564
22170,2020-04-05,100.0,0.22783078024868342
22310,2020-04-05,99.80812284037775,0.3469541503840823
22490,2020-04-05,100.0,0.0
22670,2020-04-05,99.43122620696161,0.23544029404807265
22750,2020-04-05,100.0,0.19699468883849214
23110,2020-04-05,100.0,0.058554123323451
23270,2020-04-05,99.90952680981661,0.37666101152011855
23430,2020-04-05,99.93696631518515,0.0403790780873603
23670,2020-04-05,100.0,0.0
24210,2020-04-05,100.0,0.007414885647216707
24330,2020-04-05,99.67184287877619,0.9639201189580726
24410,2020-04-05,100.0,0.10473062579319237
24600,2020-04-05,97.18526825220715,5.110230897096479
24650,2020-04-05,99.88462156982335,0.1518319714560512
24970,2020-04-05,100.0,0.20880092411530438
25060,2020-04-05,99.88852730612462,0.4011544191382388
25150,2020-04-05,100.0,0.0
25250,2020-04-05,99.79737703527765,0.6098837746531638
25340,2020-04-05,100.0,0.034061185361977664
25710,2020-04-05,100.0,0.0
25900,2020-04-05,97.93358685667624,2.4819998902948948
26080,2020-04-05,100.0,0.0
26350,2020-04-05,98.85206354698394,1.8577015161113097
26490,2020-04-05,100.0,0.0
26980,2020-04-05,99.92444825578754,0.09773808957989072
27070,2020-04-05,100.0,0.028296117275439236
27260,2020-04-05,99.9405563816607,0.07247483432553103
27350,2020-04-05,98.5861875585714,2.5326931757690074
27450,2020-04-05,100.0,0.0
20660,2020-04-06,100.0,0.07263612114196683
20910,2020-04-06,99.90989262552623,0.046816879637723297
21110,2020-04-06,99.34948773069054,0.013240562667826694
21180,2020-04-06,99.73171455303475,0.16565576521399006
21450,2020-04-06,100.0,0.0
21610,2020-04-06,99.97879369420939,0.013893674618481455
21890,2020-04-06,99.68173179737104,0.10707949089319158
22170,2020-04-06,99.81825631361961,0.04567302580955612
22310,2020-04-06,99.6217871823038,0.15961252722549446
22490,2020-04-06,100.0,0.0
22670,2020-04-06,99.35545100992695,0.1590522162994601
22750,2020-04-06,99.94285764938341,0.13973977082613054
23110,2020-04-06,99.92646221861158,-0.015026717468169526
23270,2020-04-06,99.72783442592034,0.1941191117726948
23430,2020-04-06,99.93441968028178,0.03782980797741864
23670,2020-04-06,100.0,0.0
24210,2020-04-06,100.0,0.007414885647216707
24330,2020-04-06,98.81708351462805,0.09808024211599431
24410,2020-04-06,100.0,0.10473062579319237
24600,2020-04-06,91.90122318390593,-0.6047010796148444
24650,2020-04-06,99.87948131469702,0.14667796516747433
24970,2020-04-06,99.73254280922961,-0.05921471974101866
25060,2020-04-06,99.65889001855656,0.17033863487050382
25250,2020-04-06,99.24588385174043,0.05390057402676618
25340,2020-04-06,100.0,0.034061185361977664
25710,2020-04-06,100.0,0.0
25900,2020-04-06,95.79385317166492,0.24288873026447888
26080,2020-04-06,100.0,0.0
26350,2020-04-06,97.22239644533505,0.17848371069359992
26490,2020-04-06,100.0,0.0
26980,2020-04-06,99.95839018117535,0.13173887734534429
27070,2020-04-06,100.0,0.028296117275439236
27260,2020-04-06,99.96010627413234,0.09205053205241231
27350,2020-04-06,96.46205680426324,0.32353130137052766
27450,2020-04-06,100.0,0.0
20660,2020-04-07,99.87355096532679,-0.0539047612052479
20910,2020-04-07,99.89561550026994,0.03252018790331768
21110,2020-04-07,99.18421662940447,-0.1531347130234395
21180,2020-04-07,99.57433002121853,0.007586439851214877
21450,2020-04-07,100.0,0.0
21610,2020-04-07,99.96951883499769,0.004615559242493461
