date,name,km,stay,visit,score,new,mystery,new_rolling,cumulative
2020-04-21,Banyule,4.474170393909138,0.9563571476495062,0.005748481889855884,0.07988436010452682,0.0,0.0,0.043876054533548134,5.451599775793362
2020-04-21,Bayside,5.592307612941003,0.9556713846418411,0.005884588903967214,0.07544085962712355,0.0,0.0,0.0,0.8513214400575118
2020-04-21,Boroondara,5.038225268379909,0.9404679864097185,0.0255433224813034,0.09751784668775743,0.0,0.0,0.0,1.4893347086695827
2020-04-21,Brimbank,6.292434215330623,0.9211262122403825,0.015954974422753985,0.1112628957074624,0.0,0.0,0.0,0.5749494523606467
2020-04-21,Cardinia,5.860359759478121,0.9270382581650587,0.0,0.12767939625162672,0.0,0.0,0.0,0.3734129947722181
2020-04-21,Casey,5.3999223427940795,0.9293125414130136,0.006548680092576575,0.21601022066343611,0.0,0.0,0.00839301818389354,0.6168868365161756
2020-04-21,Darebin,6.186591130935603,0.9331500435237335,0.029911468159151782,0.09498162802300136,0.0,0.0,0.0,0.49502193565952396
2020-04-21,Frankston,5.1368064932809725,0.9506510347854208,0.0,0.13791278583629218,0.0,0.0,0.0,1.2689907998167012
2020-04-21,Glen Eira,5.668393144579384,0.9413559570835409,0.03005939065330226,0.0661035363594461,0.0,0.0,0.0,0.9749249307803299
2020-04-21,Greater Dandenong,5.363213371990488,0.8919047862350753,0.0077624269820973655,0.10996772672505384,0.0,0.0,0.0,0.5418618372728696
2020-04-21,Hobsons Bay,11.044676714800474,0.9229051878880834,0.005853283685148891,0.21321699789910808,0.0,0.0,0.0,0.2073183373069348
2020-04-21,Hume,5.781553542480443,0.869068470859759,0.010147908956191769,0.15241179241813707,0.0,0.0,0.019099059180344786,0.757596014153676
2020-04-21,Kingston,4.890594751073774,0.9454518685074649,0.007594872786677607,0.1213195536977385,0.0,0.0,0.008741128846861531,0.6730669212083388
2020-04-21,Knox,3.7054069661140536,0.9630126227493858,0.0,0.16843557076282112,0.0,0.0,0.0,0.367640300729766
2020-04-21,Manningham,10.45439547067145,0.9618714034560722,0.002832953601719037,0.14788766515351215,0.0,0.0,0.011382313705671583,0.8764381553367118
2020-04-21,Maribyrnong,5.924560393513643,0.9041801135547959,0.030374189314190274,0.1281357873693756,0.0,0.0,0.0,0.21884950813573045
2020-04-21,Maroondah,4.171449128184737,0.9500545653133846,0.0,0.09876342214514133,0.0,0.0,0.012158261660380846,0.34043132649066365
2020-04-21,Melbourne,8.947106702697575,0.7589449372815795,0.35747283089468396,0.1443321119803488,0.0,0.0,0.01681057923372339,1.412088655632763
2020-04-21,Melton,6.29068975372517,0.8987830522105215,0.0028592858901412875,0.17470406608744593,0.0,0.0,0.0,0.638109154952046
2020-04-21,Monash,5.488127894516744,0.9412447433714659,0.009920064321748141,0.06732820053309485,0.0,0.0,0.021420324603599033,1.6493649944771258
2020-04-21,Moonee Valley,5.572848911057394,0.9334090036762863,0.026619889155044384,0.1164037632811381,0.0,0.0,0.0,1.4075365764018672
2020-04-21,Moreland,5.471347072858654,0.9309296924746914,0.0580990632641159,0.09002385794874046,0.0,0.0,0.007861171707643031,1.3206768468840278
2020-04-21,Mornington Peninsula,4.297748742258621,0.9638999200049341,0.0,0.12319242120687945,0.0,0.0,0.025845269540316036,1.1458069496206775
2020-04-21,Nillumbik,4.563894676363803,0.9514534254083641,0.0,0.2100116712068737,0.0,0.0,0.0,2.155802959609491
2020-04-21,Port Phillip,5.328723075865914,0.8936568167394605,0.14392574988236406,0.1151275467662014,0.0,0.0,0.0,1.4134275618374557
2020-04-21,Stonnington,5.0602199428981685,0.9056492369983583,0.08687662659943847,0.08158627625086512,0.0,0.0,0.0245866673878755,2.753706747442065
2020-04-21,Whitehorse,5.977571054945038,0.9501597874263136,0.0065107789949123826,0.1190092869506999,0.0,0.0,0.0,0.681059728938228
2020-04-21,Wyndham,8.757029546363375,0.8759399129840157,0.017694170724351418,0.19454200295397595,0.0,0.0,0.0,0.3916622931043936
2020-04-21,Yarra,5.394092451921289,0.8854238330096406,0.1027194191341689,0.09944664991884355,0.0,0.0,0.0,1.1165132306817835
2020-04-21,average,5.948639927485629,0.9203160546078006,0.033037946013551374,0.128709247776278,0.0,0.0,0.007292897409163314,1.0432014120064048
2020-04-21,highSE,5.8367406962018045,0.9401042007839042,0.033000933649239304,0.1037244825036816,0.0,0.0,0.008567849658228465,1.7735448792532948
2020-04-21,lowSE,6.201705958419535,0.9072674815280064,0.012425621637803275,0.15471132847300673,0.0,0.0,0.004089819302785601,0.6126549315572829
2020-04-21,midSE,5.753016834827393,0.9201234818204777,0.05568185675760428,0.1191184468776888,0.0,0.0,0.009872574678623012,0.9800774135505753
2020-04-22,Banyule,4.481240012482161,0.9537770562279544,0.007771463042843622,0.08298864862604793,0.0,0.0,0.010969013633386997,5.451599775793362
2020-04-22,Bayside,5.485514985083711,0.952957328998233,0.0064710609274043,0.07056611495468279,0.0,0.0,0.0,0.8513214400575118
2020-04-22,Boroondara,4.612051099263281,0.9398400536089575,0.02333870738304712,0.09655624793925222,0.0,0.0,0.0,1.4893347086695827
2020-04-22,Brimbank,6.364820111468052,0.918637976270941,0.011844903485499127,0.13180285300616912,0.0,0.0,0.0,0.5749494523606467
2020-04-22,Cardinia,5.620897884944217,0.9276824947766433,0.0,0.09687945881863758,0.0,0.0,0.0,0.3734129947722181
2020-04-22,Casey,5.446777498978879,0.9279305865311435,0.005245683639856325,0.2209418475527546,0.0,0.0,0.00839301818389354,0.6168868365161756
