date,LGA,km,stay,weight,visit
2020-04-23,50080,20.667972870641727,0.9655388034787008,0.011804637036075672,0.0012288606232710982
2020-04-23,50210,23.374981897237927,0.8447376015464111,0.027366644236377437,0.03636866026368321
2020-04-23,50250,19.60964785428909,0.896392047467227,0.008396587681890843,0.0012049711274969316
2020-04-23,50280,16.229048883716104,0.9903377198368837,0.004550875872230415,0.00028952203474155795
2020-04-23,50350,26.796246428998984,0.84151463359699,0.005747287024262957,0.008010394281876162
2020-04-23,50420,26.796246428998995,0.84151463359699,0.01923236928574663,0.02680549280088067
2020-04-23,50490,23.801254427865718,0.8479227968701234,0.025093423014865193,0.03260555281021593
2020-04-23,50560,,1.0,0.00025118109972910985,0.0
2020-04-23,50630,16.435493495861017,0.699247361502731,0.001297261674378555,0.00013545648897277297
2020-04-23,50770,,1.0,0.00021472534220597176,0.0
2020-04-23,50840,,1.0,0.001091904369591317,0.0
2020-04-23,50910,,1.0,0.00020474890291885236,0.0
2020-04-23,50980,100.25998511287426,0.9987537542579036,0.00629910207788866,0.00021753531397287042
2020-04-23,51080,,1.0,2.9816984622069716e-06,0.0
2020-04-23,51120,,1.0,0.00021227921261280736,0.0
2020-04-23,51190,22.524196623344093,0.9907846459946489,0.008204539773350221,0.0006451663391149814
2020-04-23,51260,31.747504881763657,0.9738939965580515,0.008936598902561172,0.0006410182013992424
2020-04-23,51310,20.77403046597383,0.8382187270727555,0.014145049708816769,0.020630861094427876
2020-04-23,51330,22.014783603743357,0.8515234584495137,0.043709309366935505,0.05647216543629499
2020-04-23,51400,23.42650594076567,0.9933550056087996,0.009455423082802825,0.0008955624015032919
2020-04-23,51470,,1.0,0.0001650787124645141,0.0
2020-04-23,51610,17.133600488359995,0.8950697909933588,0.0033172587417674305,0.003013772877277407
2020-04-23,51680,33.057679150744065,0.9385874097687588,0.0012359996022915827,0.0006102601506686591
2020-04-23,51750,22.37624572358524,0.8266444248192851,0.0025430732470306436,0.0038504316147156474
2020-04-23,51820,22.52250588669129,0.8426040599181454,0.03110017283128465,0.041583131769434185
2020-04-23,51890,18.895800819788526,0.924785352448486,0.002970236727121869,0.00035357583896537267
2020-04-23,51960,18.482789347726566,0.871261752276509,0.003107051580301776,0.0037334144539008917
2020-04-23,52030,,1.0,0.0001014245090403121,0.0
2020-04-23,52100,,1.0,0.0002769354880787299,0.0
2020-04-23,52170,22.37624572358527,0.8266444248192852,0.0019791491726151586,0.0029966020653843573
2020-04-23,52240,,1.0,6.577435023679331e-05,0.0
2020-04-23,52310,,1.0,0.0004038042664860497,0.0
2020-04-23,52380,,1.0,0.00018423601031096563,1.912663751101821e-05
2020-04-23,52450,,1.0,0.0002688262992608384,0.0
2020-04-23,52520,,1.0,0.00046356592569700444,0.0
2020-04-23,52590,23.718273308069982,0.9674638403522114,0.0012335683872006277,0.0
2020-04-23,52660,22.48066042712367,0.9403171983670363,0.0066866914765634855,0.00345572278264685
