date,start,n,km,stay
2020-05-03,30250,95.94161729650418,0.0,1.0
2020-05-03,30300,559.5576237165421,0.0,1.0
2020-05-03,30370,2098.686624279454,0.20558367897254679,0.9814169492725529
2020-05-03,30410,316.0,0.0,1.0
2020-05-03,30760,239.0,0.0,1.0
2020-05-03,30900,41.0,0.0,1.0
2020-05-03,31000,248610.25938953477,0.8811043909137918,0.921296406673235
2020-05-03,31820,18744.38119398655,0.4207956658203383,0.9584408793260183
2020-05-03,31900,2426.670659104175,0.08348831868117933,0.9909340808496355
2020-05-03,31950,78.51760394456717,0.0,1.0
2020-05-03,32080,27879.796890998812,0.5676693100400816,0.9465094408111149
2020-05-03,32250,265.0,0.0,1.0
2020-05-03,32260,3783.3674510321707,0.027090528823368917,0.9970925372324068
2020-05-03,32270,5946.528169185097,0.4395900812393994,0.9754745046691615
2020-05-03,32310,1589.827728339593,0.0,1.0
2020-05-03,32330,99.1379296443406,0.0,1.0
2020-05-03,32450,583.5115468708052,0.004274325541050556,0.999528750425653
2020-05-03,32500,1213.6184991463338,0.28525015525655945,0.9700874445094527
2020-05-03,32600,12.0,0.0,1.0
2020-05-03,32770,55.4823960554328,0.0,1.0
2020-05-03,32810,657.1761796728466,0.0,1.0
2020-05-03,33100,36.0,0.0,1.0
2020-05-03,33200,200.0,0.0,1.0
2020-05-03,33220,21223.71343509815,0.4183696596907422,0.9648977544726939
2020-05-03,33360,10026.145963931227,0.4854542161764021,0.9561147422366593
2020-05-03,33430,106591.98990452869,0.5935209386861092,0.9508731941097388
2020-05-03,33610,1028.9349604426457,0.0,1.0
2020-05-03,33620,8466.68451432833,0.27422055789086697,0.9705906131758404
2020-05-03,33800,1142.0535417966842,0.0,1.0
2020-05-03,33960,49909.056812765215,0.5619709947411725,0.9511481691740089
2020-05-03,33980,5593.40456501088,1.859217209441737,0.9039657430624444
2020-05-03,34420,59.0,0.0,1.0
2020-05-03,34530,3916.2349875513323,0.1903399976781072,0.9787991401963183
2020-05-03,34580,9778.995541701219,0.14403128124036976,0.9833746699489635
2020-05-03,34590,72361.30823542437,0.6522217447171444,0.9415963118350746
2020-05-03,34710,534.0,0.0,1.0
2020-05-03,34770,22317.342440249275,0.435528673681931,0.9553262220773242
2020-05-03,34800,190.48845312919474,0.7011385979261916,0.9226986193125123
2020-05-03,34860,2173.331501311883,0.0,1.0
2020-05-03,34880,5124.4410894581,0.2501330025286049,0.9766425114196037
2020-05-03,35010,89066.71866503097,0.6771125447375256,0.9428011826372094
2020-05-03,35250,93.0,0.0,1.0
2020-05-03,35300,4701.0,0.5833457196437887,0.9361837906828334
2020-05-03,35600,505.0,0.0,1.0
2020-05-03,35670,73.27145553739182,0.3833890480750898,0.9597961790250404
2020-05-03,35740,9455.982050422639,0.3853857708270168,0.9647816785854244
2020-05-03,35760,1431.0,0.0,1.0
2020-05-03,35780,88.83913446142586,0.0,1.0
2020-05-03,35800,157.0,0.0,1.0
2020-05-03,36070,46.0,0.0,1.0
2020-05-03,36150,85.0,0.0,1.0
2020-05-03,36250,25601.822464289588,0.6005703249495011,0.9483155494899058
2020-05-03,36300,111.0,0.0,1.0
2020-05-03,36370,16094.765012448668,0.3866303003454897,0.9647728655477651
2020-05-03,36510,6016.909785334884,0.006844182425736794,0.9992130513270171
2020-05-03,36580,4818.658833216478,0.060597892511407715,0.9931462939620875
2020-05-03,36630,4660.439534361879,0.0,1.0
2020-05-03,36660,5499.388427900083,0.17849841501905753,0.9792704222488372
2020-05-03,36720,46567.564882189195,0.3761595794151382,0.9626274479845224
2020-05-03,36820,3319.973017521596,0.0,1.0
2020-05-03,36910,27108.137535079863,0.3224263692067103,0.9647183075445915
2020-05-03,36950,493.16086553857417,0.0,1.0
2020-05-03,36960,22.0,0.0,1.0
2020-05-03,37010,40515.66558603392,0.9261152341979153,0.915884388156892
2020-05-03,37300,67.23929638336327,0.3902675300584894,0.9590748718838256
2020-05-03,37310,4742.8235580616965,0.04777319955457984,0.9945180334706304
2020-05-03,37340,6980.981477024132,0.1510312689360264,0.9835266716609278
2020-05-03,37400,144.0,0.0,1.0
2020-05-03,37550,84.79248717922229,0.0,1.0
2020-05-03,37570,1.6839092707670638,0.0,1.0
2020-05-03,37600,87.27307840772498,0.0,1.0
2020-05-04,30250,101.08089450182422,0.0,1.0
2020-05-04,30300,560.8125986712436,0.0,1.0
2020-05-04,30370,2131.222597124629,0.3849126566643751,0.9652781459337764
2020-05-04,30410,270.0,0.0,1.0
2020-05-04,30760,237.0,0.0,1.0
2020-05-04,30900,46.0,0.0,1.0
2020-05-04,31000,257245.72102124617,1.1438930747340723,0.9071401404085022
2020-05-04,31820,19081.925742492134,0.5578792947470109,0.9484852832326546
2020-05-04,31900,2484.9569880927684,0.17044331192946477,0.9814886131951501
2020-05-04,31950,68.50478561247125,0.0,1.0
2020-05-04,32080,28454.688199428776,0.62657328039661,0.942754720020767
2020-05-04,32250,273.0,0.0,1.0
2020-05-04,32260,3711.255178738178,0.10293578028458648,0.9889525246782034
2020-05-04,32270,6059.605182321404,0.6349374966040265,0.9605685116304765
2020-05-04,32310,1596.5686974651169,0.0003174853699956297,0.9999846057070652
2020-05-04,32330,95.01684825855897,0.0,1.0
2020-05-04,32450,605.9057029335787,0.0038419241527705736,0.9995764232030812
2020-05-04,32500,1242.114474924042,0.30543311768658304,0.9679709724496609
2020-05-04,32600,11.0,0.0,1.0
2020-05-04,32770,50.49521438752873,0.0,1.0
2020-05-04,32810,669.2910771557249,0.0,1.0
2020-05-04,33100,42.0,0.0,1.0
